Name,rank,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
UniversitÃ© de Fribourg,563,0.18707878567875014,5.215315650275443e-05,0.3127125767587131,5.215274177317042e-05,5.215477904130239e-05,5.2152545322314836e-05,5.215417695580982e-05,5.215436249272898e-05,5.215412602410652e-05,5.2153529395582154e-05
Bond University,567,0.00022356696717906743,0.00022355133114615455,0.00022356666158884764,0.00022357184934662655,0.0002235573119833134,0.0002235553038190119,0.00022355982946464792,0.00022355703549692407,0.1857381764857564,0.3587898313999176
University of Huddersfield,567,0.0007447323587257415,0.07559660484548658,0.000744739460060373,0.0007447117823176086,0.0007446809904649854,0.0007446812523994595,0.0007447200478054583,0.0007447568932548165,0.2870016138476785,0.1351669470896013
Universidad Adolfo IbÃ¡Ã±ez,567,0.07344687357544899,6.251677950785961e-05,0.03380215721881541,6.251518061617389e-05,0.13826575130224228,6.2515442550648e-05,6.25178017799044e-05,6.251811646507122e-05,0.7539851069450378,6.251593367778696e-05
Warsaw University of Technology,571,0.4160377357620746,2.3905968191684224e-05,2.3905738999019377e-05,2.390562713117106e-05,0.011294084170913266,2.390527424722677e-05,2.390592089795973e-05,0.07471051210177393,2.3905639864096884e-05,0.0011615758176048985
Indian Institute of Technology (BHU) Varanasi,571,0.05452783068176359,0.21337300940649584,0.0543216637452133,0.000859977153595537,0.000859979132656008,0.0008599102147854865,0.025820589798968285,0.0008599320135544986,0.0008599594584666193,0.381821945309639
HUFS - Hankuk (Korea) University of Foreign Studies ,575,0.001668174285441637,0.0016682844143360853,0.2059497474692762,0.0016681388951838017,0.0016682046698406339,0.0016682017012499273,0.0016681543784216046,0.42033086717128754,0.001668096985667944,0.3587057963013649
University of Klagenfurt,580,0.4991173749876907,0.000152753695147112,0.00015275827900040895,0.00015275654004653916,0.00015275090117938817,0.0001527477870695293,0.0001527549247839488,0.0001527546701254323,0.00027153949486091733,0.0001527548156445846
Applied Science University - Bahrain,582,0.12394453585147858,0.191639448490605,0.00014950002150726505,0.0001494993339292705,0.00014949591059121303,0.00014949457545299083,0.05008193378307624,0.00014949965043342672,0.0246036583375826,0.34376735985279083
Universidad CatÃ³lica Andres Bello,582,0.48969961190232425,0.014220843057046295,0.4695363258397265,7.546212509623729e-05,7.545863263658248e-05,7.546004053438082e-05,7.546098095190246e-05,0.022834982722997665,7.545873813796788e-05,7.54595675971359e-05
Universidad Pontificia Comillas,582,0.21543118961926666,0.27576703438171535,0.008396084856940433,0.00013515703903976828,0.00013515384489437565,0.00013514677630155347,0.49932458176772343,0.0001351539249299094,0.000135146427055588,0.0001351476130366791
